id,company_id,category_id,name,sku,cost_price,selling_price,unit,is_active,created_at
0a68f0c4-0046-4bd7-9c1f-c4d3bae18657,00000000-0000-0000-0000-000000000001,fca02bd9-e256-41f6-8bfc-69e4bd8dfd54,Laptop Pro 15,ELE-0001,40461.17,80130.02,roll,True,2021-09-01T09:00:00
40dc5713-9c2f-4c64-bbcf-1239b8daddf2,00000000-0000-0000-0000-000000000001,fca02bd9-e256-41f6-8bfc-69e4bd8dfd54,Wireless Earbuds,ELE-0002,2435.65,4952.94,pcs,True,2021-09-01T09:00:00
6cab6d05-199b-4733-801f-a41bf2896231,00000000-0000-0000-0000-000000000001,fca02bd9-e256-41f6-8bfc-69e4bd8dfd54,USB-C Hub 7-in-1,ELE-0003,1129.16,2522.33,box,True,2021-09-01T09:00:00
3733a235-b260-45f7-8a10-d6d44934cd5f,00000000-0000-0000-0000-000000000001,fca02bd9-e256-41f6-8bfc-69e4bd8dfd54,Mechanical Keyboard,ELE-0004,3983.1,6461.01,pcs,True,2021-09-01T09:00:00
93726e07-a1a3-453e-a4ef-1200f61b4344,00000000-0000-0000-0000-000000000001,fca02bd9-e256-41f6-8bfc-69e4bd8dfd54,Webcam 4K,ELE-0005,4166.57,6523.99,pcs,True,2021-09-01T09:00:00
167fb0c2-f440-4584-b3b3-e42fb4d5fbc2,00000000-0000-0000-0000-000000000001,50dcb607-9635-4b19-9595-dba5794f453a,Mens Polo Shirt,CLO-0006,425.23,915.09,pcs,True,2021-09-01T09:00:00
c22051fb-624e-4485-ab9d-c543f257b80e,00000000-0000-0000-0000-000000000001,50dcb607-9635-4b19-9595-dba5794f453a,Womens Kurta,CLO-0007,659.81,1124.21,set,True,2021-09-01T09:00:00
3ccf62ed-4118-4f50-a69b-a839d02609f4,00000000-0000-0000-0000-000000000001,50dcb607-9635-4b19-9595-dba5794f453a,Denim Jeans,CLO-0008,878.3,1760.6,litre,True,2021-09-01T09:00:00
aeafadbc-61a0-4dcb-bfac-8056a9cb79ff,00000000-0000-0000-0000-000000000001,50dcb607-9635-4b19-9595-dba5794f453a,Sports Joggers,CLO-0009,750.37,1284.3,pcs,True,2021-09-01T09:00:00
2606eebf-6b75-4fc3-89b1-7f7728fa7dce,00000000-0000-0000-0000-000000000001,50dcb607-9635-4b19-9595-dba5794f453a,Winter Jacket,CLO-0010,1880.1,4168.67,set,True,2021-09-01T09:00:00
38b11d32-c043-40ef-b693-ab2a60ae5318,00000000-0000-0000-0000-000000000001,bcf69716-1a92-4779-9d47-d4ef5aa06389,Microwave 20L,HOM-0011,5248.87,8426.76,pcs,True,2021-09-01T09:00:00
46f75803-1997-463e-a25a-5b9d15009687,00000000-0000-0000-0000-000000000001,bcf69716-1a92-4779-9d47-d4ef5aa06389,Air Purifier,HOM-0012,8450.82,12927.95,pcs,True,2021-09-01T09:00:00
f98ee275-ada0-4dcc-950f-4a26864725bc,00000000-0000-0000-0000-000000000001,bcf69716-1a92-4779-9d47-d4ef5aa06389,Electric Kettle,HOM-0013,798.33,1711.78,box,True,2021-09-01T09:00:00
9f167431-4fc2-4c8d-b06b-e39ea235151f,00000000-0000-0000-0000-000000000001,bcf69716-1a92-4779-9d47-d4ef5aa06389,Ceiling Fan 5-blade,HOM-0014,1529.51,3109.41,set,False,2021-09-01T09:00:00
613f6443-6cf9-485d-8895-6d88c4313bc9,00000000-0000-0000-0000-000000000001,bcf69716-1a92-4779-9d47-d4ef5aa06389,Water Purifier RO,HOM-0015,9859.36,15391.37,pcs,True,2021-09-01T09:00:00
5a793d9e-2e0f-4408-91a2-ec4759f3124f,00000000-0000-0000-0000-000000000001,aee057b8-9b4e-44e5-97a6-6996e5d66eb2,Office Chair Ergonomic,FUR-0016,5393.13,9543.08,box,True,2021-09-01T09:00:00
20fceb67-8e83-4614-88dc-e8dd306d36b4,00000000-0000-0000-0000-000000000001,aee057b8-9b4e-44e5-97a6-6996e5d66eb2,Standing Desk 140cm,FUR-0017,12695.82,21058.74,pcs,True,2021-09-01T09:00:00
4873c777-18c0-46e1-8995-0ad81b840c91,00000000-0000-0000-0000-000000000001,aee057b8-9b4e-44e5-97a6-6996e5d66eb2,Bookshelf 5-tier,FUR-0018,3903.42,8427.24,box,True,2021-09-01T09:00:00
437d7316-d30f-49da-b174-1510f133a8ae,00000000-0000-0000-0000-000000000001,aee057b8-9b4e-44e5-97a6-6996e5d66eb2,Sofa 3-seater,FUR-0019,23437.48,46875.78,pcs,True,2021-09-01T09:00:00
6b3e9a6d-fc0d-4ed4-9f29-ebe9ba4a5d21,00000000-0000-0000-0000-000000000001,aee057b8-9b4e-44e5-97a6-6996e5d66eb2,Dining Table Set,FUR-0020,19438.79,28959.18,pcs,True,2021-09-01T09:00:00
65185463-9721-480d-87cf-d5fe9d651caf,00000000-0000-0000-0000-000000000001,d2de49c0-a1b5-44d0-b1a1-2567acd96a6f,A4 Paper Ream,STA-0021,180.03,359.78,box,True,2021-09-01T09:00:00
