id,sale_id,product_id,quantity,unit_price,discount_pct,line_total
a20f27e2-2645-4f93-abb6-07a4d07a1cb6,d1bc41cb-2eb4-4b65-94a9-d94ae49a7b4e,819b3f6f-d7fb-4218-939a-691e3cdb4b50,20,896.55,0.0,17931.0
5d27f0f7-50ab-486a-a9b9-3eb74fbd5148,ca5a1acc-34fc-448a-acfb-4f48bf8ee673,7c291bd7-b4c6-4bd2-934f-cbc5fca7bfd2,2,1015.91,0.1,1828.64
69ee0192-d162-4db7-95a9-4e5aaba0ef0f,fba4fec7-923b-490f-9d4f-794e0538dd74,4230d32a-2387-4fc6-b9b4-6443fd220cdf,15,1148.03,0.0,17220.45
c64fd4d8-48e8-4330-b537-07804cdfffa1,a492d023-61f3-4a16-9f52-ff80d5a98628,c826ab84-6113-4055-bbf9-df3ea8934b15,14,11107.16,0.15,132175.2
438b7397-a9f6-4961-b937-749d186c7602,a492d023-61f3-4a16-9f52-ff80d5a98628,764e624c-616b-400e-95fc-b8d8e2d49738,1,2293.1,0.0,2293.1
53b542c8-6d45-4bd7-9ce2-7016e973f5ea,a67bfd1c-36bf-4af4-b8e6-83fd5432559c,53c5bf64-dcfe-41b2-a60a-fc05d9eafabc,4,565.31,0.15,1922.05
f4a1ae15-06e2-4e25-b9b2-7cd535e1688b,a67bfd1c-36bf-4af4-b8e6-83fd5432559c,5c804b54-c729-49e7-9560-e9ca2767949a,3,773.7,0.05,2205.05
4266fff6-a391-4a44-a196-b059e90fea6c,d7703ba6-fbf2-4608-a406-79b51d49983e,00838c15-5890-4bdb-bd1a-420d14f3d80a,4,729.67,0.0,2918.68
75598623-b2b8-41b3-8d41-c97b588b43d2,d7703ba6-fbf2-4608-a406-79b51d49983e,e5bbbba8-1298-4abc-9a8b-ef824b3e89bc,12,795.3,0.1,8589.24
cb7ff0f8-a61a-45f2-9b96-ff615b3f9965,77b9c259-6d2d-48b6-86b9-5994ed439c0d,e5d3c72d-3d83-493b-8dfd-4540d5d9811d,19,670.54,0.05,12103.25
275783c0-771f-4187-b339-d50210ee7eb7,77b9c259-6d2d-48b6-86b9-5994ed439c0d,aeafadbc-61a0-4dcb-bfac-8056a9cb79ff,5,1200.14,0.15,5100.6
