id,company_id,reference_type,reference_id,amount,payment_method,payment_date,created_at
bed2bc25-4bf8-4bd5-a898-b9c2c5760992,00000000-0000-0000-0000-000000000003,sale,d1bc41cb-2eb4-4b65-94a9-d94ae49a7b4e,19724.1,bank_transfer,2023-08-06,2023-08-06T16:00:33
ad706f7a-ac5d-46c7-bd55-d4990cf320a4,00000000-0000-0000-0000-000000000002,sale,ca5a1acc-34fc-448a-acfb-4f48bf8ee673,2011.5,bank_transfer,2024-02-27,2024-02-27T18:22:57
e4471eba-1f77-4c96-bd4b-b91c4a8eebb4,00000000-0000-0000-0000-000000000001,sale,fba4fec7-923b-490f-9d4f-794e0538dd74,20320.13,card,2023-11-28,2023-11-28T08:14:13
9294097b-bf0a-45c1-bd9e-0dea448b6181,00000000-0000-0000-0000-000000000003,sale,a492d023-61f3-4a16-9f52-ff80d5a98628,147915.13,card,2022-09-25,2022-09-25T11:09:23
f16f9356-e780-4dfb-8c1e-f8048d5c31b8,00000000-0000-0000-0000-000000000002,sale,d7703ba6-fbf2-4608-a406-79b51d49983e,8272.74,card,2024-05-26,2024-05-26T14:02:39
774fcdb0-7b4d-46b9-9c88-630fcc55cbba,00000000-0000-0000-0000-000000000001,sale,77b9c259-6d2d-48b6-86b9-5994ed439c0d,90757.73,cheque,2022-11-01,2022-11-01T16:12:52
36470cd6-a717-4ab8-94a5-70851ced337b,00000000-0000-0000-0000-000000000003,sale,94258007-f48b-4741-b9c1-5f05d5a4fea2,13990.38,cash,2023-05-19,2023-05-19T09:39:33
0e14ef94-3b84-4328-a52e-4805aeb6c26e,00000000-0000-0000-0000-000000000001,sale,2be610b5-2d47-4e35-a6ec-b1a76783a042,7419.04,bank_transfer,2022-02-19,2022-02-19T16:17:40
2fa15a72-59fb-46fb-ac0b-66dc41ece705,00000000-0000-0000-0000-000000000001,sale,8b54a2bb-368f-45cd-8055-15f7a0384b28,312141.88,cheque,2022-11-02,2022-11-02T10:13:55
c092ca2d-c04e-4b7a-9a8d-35f890c77e05,00000000-0000-0000-0000-000000000002,sale,7406a049-ef3d-4a7b-9a1e-b9f41b9c1cd1,74520.8,card,2024-11-01,2024-11-01T10:15:37
46fe99a3-4c69-4b7f-8e33-fa5833fac77a,00000000-0000-0000-0000-000000000003,sale,98ea4c05-93d5-4698-a5e0-8bc13ff5b311,2427.08,card,2022-04-16,2022-04-16T17:19:06
ca3c7973-dd53-4722-a1ca-0283ea4e0c50,00000000-0000-0000-0000-000000000002,sale,a59b9c86-e96d-42dd-8c49-800b24d1354a,146591.31,cheque,2022-10-27,2022-10-27T18:36:42
bfaf74ec-a169-4335-9ed9-8394b472e033,00000000-0000-0000-0000-000000000001,sale,07d72f71-f122-48b3-8c54-81a6f2bbcfcd,6582.8,cheque,2023-10-09,2023-10-09T08:49:11
64d295cd-3f26-4289-89c0-897f88b339ef,00000000-0000-0000-0000-000000000002,sale,f126cce0-af75-4746-b170-994b9c6d2818,143553.7,cheque,2023-05-17,2023-05-17T15:59:30
21ec52a9-c07c-4a88-9d6c-d78305d43693,00000000-0000-0000-0000-000000000002,sale,f531610c-a30b-4383-92f3-4c020e5cae07,303592.22,card,2024-08-15,2024-08-15T11:47:03
75ec969e-3fc7-4774-bac7-7586be2e4e65,00000000-0000-0000-0000-000000000002,sale,d3516159-a62d-4fcd-bbec-9e69c89b86d4,15139.06,cash,2024-09-04,2024-09-04T12:17:42
f284fcbf-a5c7-4e8b-9843-efb6bcc8048b,00000000-0000-0000-0000-000000000002,sale,1ba86018-a720-4343-a078-43bcb304b596,6000.58,cash,2023-01-04,2023-01-04T11:38:56
688184ac-23de-4d7b-8a80-1fc80d0c2d73,00000000-0000-0000-0000-000000000002,sale,6a1fefe8-80b3-42b2-a95c-876616995951,107345.8,cheque,2024-04-18,2024-04-18T08:41:34
