id,company_id,name,contact_email,phone,city,payment_terms_days,created_at
5876ac2e-6534-414c-b629-58ed4b6ef76b,00000000-0000-0000-0000-000000000001,FastTrack Traders,contact@fasttracktraders3.com,+41498495745,Chennai,60,2021-08-01T09:00:00
212cf991-45e9-4b5e-b07d-aa0303292cbb,00000000-0000-0000-0000-000000000001,UrbanMart Vendors,contact@urbanmartvendors6.com,+542398806247,Delhi,45,2021-08-01T09:00:00
02fbd63a-82f7-4efb-a53b-6fecf5cdda16,00000000-0000-0000-0000-000000000001,NexGen Distributors,contact@nexgendistributors2.com,+318463570248,Chennai,60,2021-08-01T09:00:00
98c89a77-2c04-42af-b942-fda9d9dad8b5,00000000-0000-0000-0000-000000000001,MetroTrade Co,contact@metrotradeco2.com,+617807919405,Mumbai,60,2021-08-01T09:00:00
588a3ca9-790e-4c7e-a52f-20b4fe497cce,00000000-0000-0000-0000-000000000001,Pinnacle Wholesale,contact@pinnaclewholesale4.com,+792954170921,Kolkata,45,2021-08-01T09:00:00
abee37a2-746f-4580-9f72-500aae5a8cd7,00000000-0000-0000-0000-000000000001,AlphaStock Inc,contact@alphastockinc8.com,+932158329197,Pune,30,2021-08-01T09:00:00
4bd0b582-5268-49ae-80fc-e11ee1d174c1,00000000-0000-0000-0000-000000000001,GlobalTech Supplies,contact@globaltechsupplies1.com,+361586269483,Ahmedabad,60,2021-08-01T09:00:00
163ff4fe-e14c-46c5-a7ec-e4edfbb1b832,00000000-0000-0000-0000-000000000001,WestCoast Traders,contact@westcoasttraders3.com,+982475647712,Hyderabad,90,2021-08-01T09:00:00
cdfc2396-1d66-4c9e-9264-dc667735e359,00000000-0000-0000-0000-000000000001,Reliable Goods Ltd,contact@reliablegoodsltd3.com,+744672214312,Delhi,60,2021-08-01T09:00:00
e85c486a-b105-4e73-9e2f-e4fd936aa67b,00000000-0000-0000-0000-000000000001,Eastern Commodities,contact@easterncommodities8.com,+287835787787,Ahmedabad,45,2021-08-01T09:00:00
50379a95-cd15-4dab-a9db-6c5b86cdcdfc,00000000-0000-0000-0000-000000000001,PrimeSource Pvt Ltd,contact@primesourcepvtltd7.com,+954747781900,Chennai,45,2021-08-01T09:00:00
e4db980d-829c-4c9f-8e25-8b04ab8459dd,00000000-0000-0000-0000-000000000001,TrustWell Enterprises,contact@trustwellenterprises4.com,+765064122912,Mumbai,60,2021-08-01T09:00:00
a6869331-1795-462a-be24-e6127ba25ce4,00000000-0000-0000-0000-000000000001,SkyHigh Imports,contact@skyhighimports1.com,+613165592658,Kolkata,90,2021-08-01T09:00:00
f6a87777-3805-4173-84b9-2401937360c7,00000000-0000-0000-0000-000000000001,ProLine Exports,contact@prolineexports8.com,+904527419370,Ahmedabad,60,2021-08-01T09:00:00
