id,company_id,branch_id,customer_id,user_id,sale_date,status,total_amount,discount_amount,tax_amount,net_amount,payment_status,created_at
d1bc41cb-2eb4-4b65-94a9-d94ae49a7b4e,00000000-0000-0000-0000-000000000003,9b1ac5ce-ad4f-40d1-8b7c-0005176b143d,3fd0896b-6f4e-4d22-8f45-3311a19a485a,33baaf1c-3618-44b5-b42a-4673992689f8,2023-08-01,completed,17931.0,0.0,1793.1,19724.1,paid,2023-08-01T15:58:41
ca5a1acc-34fc-448a-acfb-4f48bf8ee673,00000000-0000-0000-0000-000000000002,5f6c98b4-4360-41ee-83a3-efc700651a04,a0a956ed-a095-4439-b7db-c65fe4a58260,e213801b-a706-48c3-9ba4-7db14d3912f3,2024-02-13,completed,1828.64,203.18,182.86,2011.5,paid,2024-02-13T18:38:00
fba4fec7-923b-490f-9d4f-794e0538dd74,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,4069e5f4-954c-4ded-8703-9350338e57c9,7760d86e-b342-473c-8c64-b55d64aa491a,2023-11-25,completed,17220.45,0.0,3099.68,20320.13,paid,2023-11-25T11:03:34
a492d023-61f3-4a16-9f52-ff80d5a98628,00000000-0000-0000-0000-000000000003,9b1ac5ce-ad4f-40d1-8b7c-0005176b143d,e910c21e-2712-4554-bcd2-bf0d97365fcd,9dd0c56d-a9cf-4c8d-a998-9df89eb48a85,2022-09-10,completed,134468.3,23325.04,13446.83,147915.13,paid,2022-09-10T12:14:58
a67bfd1c-36bf-4af4-b8e6-83fd5432559c,00000000-0000-0000-0000-000000000003,9b1ac5ce-ad4f-40d1-8b7c-0005176b143d,c773c2a3-c130-452c-89fa-dfa0795d52a4,79c1732a-a6d1-4565-b515-c59de4dbdfe5,2023-04-05,cancelled,4127.1,455.25,412.71,4539.81,unpaid,2023-04-05T10:27:33
d7703ba6-fbf2-4608-a406-79b51d49983e,00000000-0000-0000-0000-000000000002,b961632b-814f-4481-946b-17a792487aa7,15b9821e-6fb9-4191-8c2c-a539abd88587,7f514159-0b19-4321-a308-daec53995d5a,2024-05-20,completed,11507.92,954.36,1150.79,12658.71,partial,2024-05-20T09:50:00
77b9c259-6d2d-48b6-86b9-5994ed439c0d,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,12552d53-1269-48bb-a9eb-6042b9b3c3ff,9a16d7d2-dc18-4141-a14f-3394de4b98bc,2022-10-30,completed,76913.33,1537.12,13844.4,90757.73,paid,2022-10-30T15:44:26
94258007-f48b-4741-b9c1-5f05d5a4fea2,00000000-0000-0000-0000-000000000003,7227b311-834f-4815-aa86-c5d464758be1,2af12b20-265e-4b55-ba11-3acf74bf7ae7,29998a31-9af5-4c58-9bfe-cde4f9a96969,2023-05-19,completed,40699.6,690.48,4069.96,44769.56,partial,2023-05-19T11:44:05
2be610b5-2d47-4e35-a6ec-b1a76783a042,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,5c10403d-89c2-41d5-bc1a-0aa76f6df4da,3f0519f3-383c-48a1-8609-f4b51fd5ecd4,2022-02-05,completed,20342.38,0.0,3661.63,24004.01,partial,2022-02-05T10:18:29
8b54a2bb-368f-45cd-8055-15f7a0384b28,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,9ae6e6fe-b339-48b9-9f82-6b1535a0f752,3f0519f3-383c-48a1-8609-f4b51fd5ecd4,2022-10-21,completed,264527.02,695.27,47614.86,312141.88,paid,2022-10-21T14:46:21
d6867d3f-9f10-4667-a988-3b537af53138,00000000-0000-0000-0000-000000000002,b961632b-814f-4481-946b-17a792487aa7,894f266d-2103-4806-bf45-0023f0358c15,07274486-6344-4009-ae28-b9027a51f93f,2022-08-16,pending,5901.38,0.0,590.14,6491.52,unpaid,2022-08-16T14:43:56
7406a049-ef3d-4a7b-9a1e-b9f41b9c1cd1,00000000-0000-0000-0000-000000000002,b961632b-814f-4481-946b-17a792487aa7,4fe7e16f-6dc6-4910-9a84-e1ce79904ddf,517d046e-f5e7-4244-8dab-e8995b9bfdc4,2024-10-24,completed,67746.18,626.42,6774.62,74520.8,paid,2024-10-24T14:10:03
1e5dca6c-205b-4827-9e7d-28b00a123683,00000000-0000-0000-0000-000000000002,b961632b-814f-4481-946b-17a792487aa7,345effa7-0c9c-40e5-937d-55b3352d56b3,f72410dd-3260-4ece-a477-1ae69ac1e84e,2023-07-07,completed,19738.58,152.49,1973.86,21712.44,unpaid,2023-07-07T11:35:12
