id,company_id,branch_id,name,location,created_at
574f8e49-624f-4c82-81a6-66739af2fa27,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,Mumbai Main Warehouse,"Mumbai, India - Zone A",2021-10-01T09:00:00
8618a91b-2b38-4faa-b40d-0308363b2a61,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,Mumbai Secondary Warehouse,"Mumbai, India - Zone B",2021-10-01T09:00:00
be0b4543-3c61-4879-b9e6-3a01fb650515,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,Delhi Main Warehouse,"Delhi, India - Zone A",2021-10-01T09:00:00
78d504a3-39b4-4991-b1b7-9557d3428ff2,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,Bangalore Main Warehouse,"Bangalore, India - Zone A",2021-10-01T09:00:00
6b767918-233a-466f-8a09-289b295c7d6f,00000000-0000-0000-0000-000000000002,5f6c98b4-4360-41ee-83a3-efc700651a04,New York Main Warehouse,"New York, USA - Zone A",2021-10-01T09:00:00
55ab4457-f0ec-4980-a436-2143da3feebb,00000000-0000-0000-0000-000000000002,5f6c98b4-4360-41ee-83a3-efc700651a04,New York Secondary Warehouse,"New York, USA - Zone B",2021-10-01T09:00:00
0962d35c-a6e8-4eca-baa5-2a0042694d94,00000000-0000-0000-0000-000000000002,587616fd-ba60-493e-ba92-b68a61b5cdce,Chicago Main Warehouse,"Chicago, USA - Zone A",2021-10-01T09:00:00
ccb957cd-dfcb-4bd6-9734-bb8509a44acb,00000000-0000-0000-0000-000000000002,b961632b-814f-4481-946b-17a792487aa7,Houston Main Warehouse,"Houston, USA - Zone A",2021-10-01T09:00:00
e27df25e-c09e-4e8b-93d9-11ef7be3c806,00000000-0000-0000-0000-000000000003,470852ed-b70b-4f24-879a-6edb4193d8b6,Dubai Main Warehouse,"Dubai, UAE - Zone A",2021-10-01T09:00:00
b77f9b19-e3f1-4ecd-a1ba-b48d079eb36c,00000000-0000-0000-0000-000000000003,470852ed-b70b-4f24-879a-6edb4193d8b6,Dubai Secondary Warehouse,"Dubai, UAE - Zone B",2021-10-01T09:00:00
a07bb1e9-e002-4bd3-8be2-ae978aece1a1,00000000-0000-0000-0000-000000000003,9b1ac5ce-ad4f-40d1-8b7c-0005176b143d,Abu Dhabi Main Warehouse,"Abu Dhabi, UAE - Zone A",2021-10-01T09:00:00
62064292-9471-4874-ae4a-cb0ef27d57d4,00000000-0000-0000-0000-000000000003,7227b311-834f-4815-aa86-c5d464758be1,Sharjah Main Warehouse,"Sharjah, UAE - Zone A",2021-10-01T09:00:00
