id,company_id,name,description,created_at
fca02bd9-e256-41f6-8bfc-69e4bd8dfd54,00000000-0000-0000-0000-000000000001,Electronics,Electronics products and related items,2021-06-01T09:00:00
50dcb607-9635-4b19-9595-dba5794f453a,00000000-0000-0000-0000-000000000001,Clothing,Clothing products and related items,2021-06-01T09:00:00
bcf69716-1a92-4779-9d47-d4ef5aa06389,00000000-0000-0000-0000-000000000001,Home Appliances,Home Appliances products and related items,2021-06-01T09:00:00
aee057b8-9b4e-44e5-97a6-6996e5d66eb2,00000000-0000-0000-0000-000000000001,Furniture,Furniture products and related items,2021-06-01T09:00:00
d2de49c0-a1b5-44d0-b1a1-2567acd96a6f,00000000-0000-0000-0000-000000000001,Stationery,Stationery products and related items,2021-06-01T09:00:00
4fbcbd9b-8687-4ba6-a2b2-a60017ef7fae,00000000-0000-0000-0000-000000000001,Food & Beverages,Food & Beverages products and related items,2021-06-01T09:00:00
388277d9-01ef-48ba-8bcd-7660faa2da92,00000000-0000-0000-0000-000000000001,Pharmaceuticals,Pharmaceuticals products and related items,2021-06-01T09:00:00
68cb66c3-09a4-4957-94a1-ef2b42961cdf,00000000-0000-0000-0000-000000000001,Automotive Parts,Automotive Parts products and related items,2021-06-01T09:00:00
ac6dc2ad-bbf0-419b-96a9-e910c07a409b,00000000-0000-0000-0000-000000000001,Toys & Games,Toys & Games products and related items,2021-06-01T09:00:00
1731c294-6f91-48fe-a9d0-15d64ae20ed7,00000000-0000-0000-0000-000000000001,Sports & Fitness,Sports & Fitness products and related items,2021-06-01T09:00:00
c126f111-f910-454a-b772-8d5187690e81,00000000-0000-0000-0000-000000000001,Beauty & Health,Beauty & Health products and related items,2021-06-01T09:00:00
63f85eb1-0afc-4933-abd5-0967b7e29b74,00000000-0000-0000-0000-000000000001,Books,Books products and related items,2021-06-01T09:00:00
c18c21c0-f8a6-43d7-9e5d-1c012fb85fa0,00000000-0000-0000-0000-000000000001,Hardware & Tools,Hardware & Tools products and related items,2021-06-01T09:00:00
30ed3c03-4aec-41b9-ad0b-366efab1f06d,00000000-0000-0000-0000-000000000001,Packaging Materials,Packaging Materials products and related items,2021-06-01T09:00:00
4649b934-e5b5-462e-b356-655ab601bd37,00000000-0000-0000-0000-000000000001,Raw Materials,Raw Materials products and related items,2021-06-01T09:00:00
214489d1-6219-49d2-be97-e940c1d2194a,00000000-0000-0000-0000-000000000001,Chemicals,Chemicals products and related items,2021-06-01T09:00:00
b7779030-b669-455a-a6cd-48ec9d03fa2b,00000000-0000-0000-0000-000000000001,Electrical Supplies,Electrical Supplies products and related items,2021-06-01T09:00:00
ea5d07be-288b-4170-bfbe-e844fa068458,00000000-0000-0000-0000-000000000001,Agricultural Inputs,Agricultural Inputs products and related items,2021-06-01T09:00:00
4380f83e-8962-43ce-b9a0-a12438e5046c,00000000-0000-0000-0000-000000000001,Cleaning Supplies,Cleaning Supplies products and related items,2021-06-01T09:00:00
