id,company_id,sale_id,customer_id,invoice_number,invoice_date,due_date,total_amount,paid_amount,status,created_at
e657f968-f0b4-4fc5-9a27-7bcd9131dbc3,00000000-0000-0000-0000-000000000003,d1bc41cb-2eb4-4b65-94a9-d94ae49a7b4e,3fd0896b-6f4e-4d22-8f45-3311a19a485a,INV-0000001,2023-08-01,2023-08-31,19724.1,19724.1,paid,2023-08-01T12:43:03
0b6705a9-43dc-423f-8f5a-3b166a59141a,00000000-0000-0000-0000-000000000002,ca5a1acc-34fc-448a-acfb-4f48bf8ee673,a0a956ed-a095-4439-b7db-c65fe4a58260,INV-0000002,2024-02-13,2024-03-14,2011.5,2011.5,paid,2024-02-13T15:53:41
a4c669be-faf0-4a12-8c91-831f719e619c,00000000-0000-0000-0000-000000000001,fba4fec7-923b-490f-9d4f-794e0538dd74,4069e5f4-954c-4ded-8703-9350338e57c9,INV-0000003,2023-11-25,2023-12-10,20320.13,20320.13,paid,2023-11-25T18:50:41
2912338b-79fd-4aa4-9f31-6245d1f969fc,00000000-0000-0000-0000-000000000003,a492d023-61f3-4a16-9f52-ff80d5a98628,e910c21e-2712-4554-bcd2-bf0d97365fcd,INV-0000004,2022-09-10,2022-11-09,147915.13,147915.13,paid,2022-09-10T16:26:03
98f64f80-8267-45dc-8895-166cf7533cd3,00000000-0000-0000-0000-000000000003,a67bfd1c-36bf-4af4-b8e6-83fd5432559c,c773c2a3-c130-452c-89fa-dfa0795d52a4,INV-0000005,2023-04-05,2023-05-20,4539.81,0.0,cancelled,2023-04-05T08:09:27
a901d1f1-f270-4a90-8d89-f9b155f2a981,00000000-0000-0000-0000-000000000002,d7703ba6-fbf2-4608-a406-79b51d49983e,15b9821e-6fb9-4191-8c2c-a539abd88587,INV-0000006,2024-05-20,2024-07-19,12658.71,7513.81,overdue,2024-05-20T18:21:57
0649fa60-7b86-4ce6-9fcb-ce4a8978b526,00000000-0000-0000-0000-000000000001,77b9c259-6d2d-48b6-86b9-5994ed439c0d,12552d53-1269-48bb-a9eb-6042b9b3c3ff,INV-0000007,2022-10-30,2022-12-14,90757.73,90757.73,paid,2022-10-30T18:45:16
e521380b-4074-4e45-bd53-c73119f8bb06,00000000-0000-0000-0000-000000000003,94258007-f48b-4741-b9c1-5f05d5a4fea2,2af12b20-265e-4b55-ba11-3acf74bf7ae7,INV-0000008,2023-05-19,2023-07-03,44769.56,16441.64,overdue,2023-05-19T09:43:18
5a037542-5c3b-4209-b198-6a3865ccbb3a,00000000-0000-0000-0000-000000000001,2be610b5-2d47-4e35-a6ec-b1a76783a042,5c10403d-89c2-41d5-bc1a-0aa76f6df4da,INV-0000009,2022-02-05,2022-03-22,24004.01,10674.72,overdue,2022-02-05T12:45:39
1b3db726-c463-4ec5-beaa-65c956b28e93,00000000-0000-0000-0000-000000000001,8b54a2bb-368f-45cd-8055-15f7a0384b28,9ae6e6fe-b339-48b9-9f82-6b1535a0f752,INV-0000010,2022-10-21,2022-11-05,312141.88,312141.88,paid,2022-10-21T16:59:16
d50cfb40-1da0-418c-bc0b-301c8e205690,00000000-0000-0000-0000-000000000002,d6867d3f-9f10-4667-a988-3b537af53138,894f266d-2103-4806-bf45-0023f0358c15,INV-0000011,2022-08-16,2022-09-15,6491.52,0.0,overdue,2022-08-16T17:50:49
87d9db9a-5504-4851-b908-763d2d63f6de,00000000-0000-0000-0000-000000000002,7406a049-ef3d-4a7b-9a1e-b9f41b9c1cd1,4fe7e16f-6dc6-4910-9a84-e1ce79904ddf,INV-0000012,2024-10-24,2024-12-23,74520.8,74520.8,paid,2024-10-24T16:36:27
ea901d3b-179d-4dbf-80b3-111fdb29f511,00000000-0000-0000-0000-000000000002,1e5dca6c-205b-4827-9e7d-28b00a123683,345effa7-0c9c-40e5-937d-55b3352d56b3,INV-0000013,2023-07-07,2023-09-05,21712.44,0.0,overdue,2023-07-07T17:21:14
5eecea77-33be-4eef-a022-0892b4cc669a,00000000-0000-0000-0000-000000000003,98ea4c05-93d5-4698-a5e0-8bc13ff5b311,234e8628-3501-4ff8-ad00-bcacae13491a,INV-0000014,2022-04-02,2022-04-17,2427.08,2427.08,paid,2022-04-02T15:05:42
b19896b0-be98-4787-9462-60c07fb619b2,00000000-0000-0000-0000-000000000001,4b075bd8-2617-4ef7-b9d8-27752dcc4a40,18609e6a-0112-4453-9aa6-4e28b5e61bc5,INV-0000015,2022-07-19,2022-08-18,8726.57,0.0,overdue,2022-07-19T18:21:24
f58de246-8019-4880-bd39-608131bfa659,00000000-0000-0000-0000-000000000002,a59b9c86-e96d-42dd-8c49-800b24d1354a,6b0fb08d-4304-453f-98e5-416cd3325c00,INV-0000016,2022-10-16,2022-10-31,231608.54,124729.4,overdue,2022-10-16T11:23:45
9fe58137-a0e5-4d88-ac49-332e475ac654,00000000-0000-0000-0000-000000000001,07d72f71-f122-48b3-8c54-81a6f2bbcfcd,a3f5c315-889a-4fe7-86df-cf852452827f,INV-0000017,2023-10-05,2023-10-20,11999.04,6453.85,overdue,2023-10-05T09:21:47
eb5c34f6-93bb-4f43-888d-07a33826f66a,00000000-0000-0000-0000-000000000002,87692733-8f2d-4c3c-92ce-34d88a8ca327,1a0d65c3-8542-4653-81d5-02fcd5feddc0,INV-0000018,2024-09-26,2024-10-11,81350.72,0.0,overdue,2024-09-26T11:24:27
2e30c32b-713c-4524-b257-73fc3cbc42e6,00000000-0000-0000-0000-000000000002,f126cce0-af75-4746-b170-994b9c6d2818,bb4d94df-6853-4786-af28-80116f60dc60,INV-0000019,2023-05-17,2023-06-01,208185.32,76748.39,overdue,2023-05-17T18:27:31
905cd9d5-769f-4f00-82ea-5a0fd5332564,00000000-0000-0000-0000-000000000002,f531610c-a30b-4383-92f3-4c020e5cae07,efced2b8-4f5a-4413-8153-2f52c4f62b98,INV-0000020,2024-08-12,2024-10-11,303592.22,303592.22,paid,2024-08-12T09:57:50
08328bfd-87be-4408-b917-0611dcb15141,00000000-0000-0000-0000-000000000002,d3516159-a62d-4fcd-bbec-9e69c89b86d4,fb09fd34-296e-4b3b-8bca-fff663f270c2,INV-0000021,2024-08-20,2024-10-04,15139.06,15139.06,paid,2024-08-20T13:13:49
4f909533-8b4a-4c42-a4e3-e98f63f85f3e,00000000-0000-0000-0000-000000000002,1ba86018-a720-4343-a078-43bcb304b596,8e9891d2-4ab9-4c43-86a7-f0f50800a74a,INV-0000022,2022-12-27,2023-01-11,18932.97,7324.88,overdue,2022-12-27T12:33:32
1e45cea2-ea40-4711-9549-d42a3e117c60,00000000-0000-0000-0000-000000000002,d29675d7-790d-429a-8cb7-d3546ffc5adf,82d63e48-850c-4797-9977-8c833c534d68,INV-0000023,2024-05-08,2024-07-07,264852.12,0.0,overdue,2024-05-08T15:53:53
5f1c0f27-bef0-4f86-9a57-cec218e20fbb,00000000-0000-0000-0000-000000000002,6a1fefe8-80b3-42b2-a95c-876616995951,260076fe-7569-4416-ac34-6718e9058efb,INV-0000024,2024-04-12,2024-04-27,107345.8,107345.8,paid,2024-04-12T18:25:30
6bf42b14-a4ab-42ec-b886-94d988e473b0,00000000-0000-0000-0000-000000000001,95beca4f-bab8-492f-b3c0-ae9c81cbf4ce,b4410178-39c7-4d64-b672-448d69a9dd5d,INV-0000025,2024-07-22,2024-09-05,53826.87,53826.87,paid,2024-07-22T10:15:55
5da2918b-14be-410a-bd5f-38bfcab20c07,00000000-0000-0000-0000-000000000002,d7e05c42-367b-4663-8f88-487f54c03ad0,dbb7c553-70c4-45b9-bea1-e5539d2d3c82,INV-0000026,2022-08-01,2022-09-15,133651.64,0.0,overdue,2022-08-01T08:07:00
d06e870c-f918-42e8-92af-e408796d6ef7,00000000-0000-0000-0000-000000000002,1fbd3a6b-03c5-4b46-809d-e57777c370db,5e78d866-f897-4f50-983b-6801527e4592,INV-0000027,2024-03-21,2024-04-20,7953.76,4667.21,overdue,2024-03-21T17:00:55
bc86bfdc-c9fa-4af4-8c82-d8b8c7fd3752,00000000-0000-0000-0000-000000000001,5d0089ed-6e1f-4da1-9535-efabe698b6dc,f780b69e-b435-450d-adc2-218859dafae0,INV-0000028,2022-02-23,2022-04-24,31319.78,10889.81,overdue,2022-02-23T16:57:35
7cf52379-bec0-442b-9a33-3d064c314612,00000000-0000-0000-0000-000000000003,b4f941dc-431a-43c7-9354-1488f32b0e30,351d2e91-2deb-4374-8f61-4859b8708acf,INV-0000029,2023-10-14,2023-12-13,784006.57,784006.57,paid,2023-10-14T09:25:42
2b82f4b5-ce89-4c77-9707-2db406715f19,00000000-0000-0000-0000-000000000003,c3c20c38-e3b6-4591-bbbe-cbd4a0fbb545,54a7ef0d-5132-4a5e-8e4b-21e7afdf2553,INV-0000030,2022-07-10,2022-07-25,2679.22,934.87,overdue,2022-07-10T11:02:39
4a780825-6375-46a9-b629-060e89fe5c9a,00000000-0000-0000-0000-000000000002,8c6fff1a-c520-4fd8-a6cf-dbafa8e11b65,4ee328fc-2748-46fa-af50-42ba5cf09094,INV-0000031,2023-03-31,2023-04-15,8510.14,0.0,overdue,2023-03-31T18:39:28
aa23d420-1f51-4b80-9970-789974e17100,00000000-0000-0000-0000-000000000003,b3d81e94-9596-4264-a550-2e7234deb9fa,c773c2a3-c130-452c-89fa-dfa0795d52a4,INV-0000032,2022-09-09,2022-09-24,51604.73,51604.73,paid,2022-09-09T18:47:04
4fa4ef0e-1710-43c9-a826-892994fd3ab5,00000000-0000-0000-0000-000000000001,6ce4eadf-d7bf-4e23-8f99-3400ce6fe6ac,8ac9d8f2-f1d8-4f13-8268-d41a89127b9d,INV-0000033,2022-03-06,2022-03-21,9788.15,9788.15,paid,2022-03-06T15:08:20
30828252-2fd2-4d16-8d85-e8c3d8d156df,00000000-0000-0000-0000-000000000001,6e671d67-7649-4781-87fd-cbbd87ab757e,c68529c1-30d3-445e-a9ea-87b2e9ad080e,INV-0000034,2023-03-21,2023-05-05,6777.57,0.0,overdue,2023-03-21T13:27:35
f4c0ead2-5dd6-4f6e-bf94-6131debf493f,00000000-0000-0000-0000-000000000003,6081693c-64f3-4761-bd19-f70c201f5626,2579be70-7ebb-426c-8150-cfb2fa023823,INV-0000035,2024-10-12,2024-12-11,197935.02,0.0,overdue,2024-10-12T13:07:29
